StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount
0,0.0000,1.0000,1.0000,1,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
1,0.0000,1.0000,1.0000,2,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
2,0.0000,1.0000,1.0000,3,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
3,0.0000,1.0000,1.0000,4,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
4,0.0000,1.0000,1.0000,5,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
5,0.0000,1.0000,1.0000,6,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
6,0.0000,1.0000,1.0000,7,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
7,0.0000,1.0000,1.0000,8,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
8,0.0000,1.0000,1.0000,9,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
9,0.0000,1.0000,1.0000,10,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
10,0.0000,1.0000,1.0000,11,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
11,0.0000,1.0000,1.0000,12,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
12,0.0000,1.0000,1.0000,13,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
13,0.0000,1.0000,1.0000,14,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
14,0.0000,1.0000,1.0000,15,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
15,0.0000,1.0000,1.0000,16,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
16,0.0000,1.0000,1.0000,17,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
17,0.0000,1.0000,1.0000,18,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
18,0.0000,1.0000,0.0000,1,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
19,1.0000,0.0000,0.0000,1,1.0000,0.0200,1.1100,1.2547,0.1015,1.1100,1.2547,0.1015,0
